Tamanho_KB,Rodada,Latencia_ns
4,1,1.12
8,1,1.29
16,1,1.96
32,1,2.00
64,1,1.98
128,1,1.87
256,1,1.84
512,1,1.92
1024,1,1.99
2048,1,1.90
4096,1,1.91
8192,1,1.97
16384,1,3.63
